# DY Scale Factors Run2 UL (>= 1 b-tag)
# Note: MuMu/ElEl SF from METCut, MuEl SF from NoMETCut
# Columns: key  SF  SF_err  N_MC  N_MC_err  N_DY  N_DY_err
#
# UL2016PreVFP
# key  SF  SF_err  N_MC  N_MC_err  N_DY  N_DY_err
UL2016PreVFP_Dilepton_ElEl  0.943254  0.004070  461969.1619  1382.6116  435754.2749  2288.3472
UL2016PreVFP_Dilepton_MuMu  0.973413  0.002792  1044609.8934  2076.4672  1016836.6724  3548.1510
UL2016PreVFP_Dilepton_MuEl  0.958215  0.002482  37994.6118  337.7786  36406.9988  337.1266
UL2016PreVFP_>= 2 jets_ElEl  0.930784  0.027388  24205.5125  494.3120  22530.0924  806.9540
UL2016PreVFP_>= 2 jets_MuMu  0.949197  0.019746  48761.0820  703.8458  46283.8818  1171.9196
UL2016PreVFP_>= 2 jets_MuEl  0.939945  0.016936  2188.0220  105.9508  2056.6209  106.2586
UL2016PreVFP_>= 1 b-tag_ElEl  1.170143  0.199701  736.6267  87.1766  861.9588  179.0136
UL2016PreVFP_>= 1 b-tag_MuMu  1.259523  0.130996  1820.3817  129.9472  2292.8134  289.2274
UL2016PreVFP_>= 1 b-tag_MuEl  0.982090  0.066661  113.4866  23.3584  111.4541  24.1553
#
# UL2016PostVFP
# key  SF  SF_err  N_MC  N_MC_err  N_DY  N_DY_err
UL2016PostVFP_Dilepton_ElEl  0.993912  0.004846  397701.7024  1344.0491  395280.5686  2344.8507
UL2016PostVFP_Dilepton_MuMu  1.008801  0.003315  912953.5870  2078.3264  920988.9387  3681.4100
UL2016PostVFP_Dilepton_MuEl  1.001329  0.002943  33490.7300  346.8308  33535.2447  361.0117
UL2016PostVFP_>= 2 jets_ElEl  0.974837  0.031481  20062.4679  449.1200  19557.6400  768.4998
UL2016PostVFP_>= 2 jets_MuMu  1.002081  0.023254  41880.2671  673.0667  41967.4262  1184.6231
UL2016PostVFP_>= 2 jets_MuEl  0.988365  0.019652  1810.0120  112.1579  1788.9530  116.4200
UL2016PostVFP_>= 1 b-tag_ElEl  1.418277  0.249693  654.9061  79.6508  928.8380  198.7511
UL2016PostVFP_>= 1 b-tag_MuMu  1.491122  0.196705  1276.1417  116.2032  1902.8825  305.0189
UL2016PostVFP_>= 1 b-tag_MuEl  1.166662  0.079920  46.9677  21.9782  54.7954  25.9145
#
# UL2017
# key  SF  SF_err  N_MC  N_MC_err  N_DY  N_DY_err
UL2017_Dilepton_ElEl  1.013900  0.002920  951769.0681  1902.4847  964998.6998  3383.3287
UL2017_Dilepton_MuMu  1.029441  0.002043  2229278.3135  3069.6829  2294909.4162  5543.0846
UL2017_Dilepton_MuEl  1.021641  0.001787  76168.2148  459.7477  77816.5506  489.0162
UL2017_>= 2 jets_ElEl  1.028525  0.018251  61398.3246  757.1391  63149.6842  1364.5948
UL2017_>= 2 jets_MuMu  1.051814  0.013805  125401.4539  1143.5853  131898.9977  2107.9992
UL2017_>= 2 jets_MuEl  1.040104  0.011478  5340.4785  163.8479  5554.6533  181.1080
UL2017_>= 1 b-tag_ElEl  1.195287  0.124813  2000.3981  145.4980  2391.0493  304.2749
UL2017_>= 1 b-tag_MuMu  1.301913  0.094158  4174.9009  209.6092  5435.3586  478.5384
UL2017_>= 1 b-tag_MuEl  1.083889  0.043672  217.2929  34.4989  235.5213  38.5783
#
# UL2018
# key  SF  SF_err  N_MC  N_MC_err  N_DY  N_DY_err
UL2018_Dilepton_ElEl  0.987611  0.002782  1431356.1768  2802.2374  1413623.1776  4849.8593
UL2018_Dilepton_MuMu  0.994256  0.001942  3282244.8501  4453.3677  3263392.4775  7761.0673
UL2018_Dilepton_MuEl  0.990928  0.001699  117997.3345  684.5998  116926.8725  707.3769
UL2018_>= 2 jets_ElEl  0.979324  0.017455  86572.5340  1073.2688  84782.5381  1840.7091
UL2018_>= 2 jets_MuMu  0.997269  0.013278  174364.3647  1614.2631  173888.1512  2819.8830
UL2018_>= 2 jets_MuEl  0.988256  0.010993  8168.4935  233.1101  8072.5592  247.2544
UL2018_>= 1 b-tag_ElEl  1.205556  0.120643  2921.9492  203.3073  3522.5747  429.3459
UL2018_>= 1 b-tag_MuMu  1.230428  0.086128  6354.6001  308.4071  7818.8758  665.9953
UL2018_>= 1 b-tag_MuEl  1.031122  0.043924  380.9447  50.6340  392.8006  54.8256
#
